UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,1,2024,32,4741904,2390001,2351903,1721054,1668989,376443,381825,36603,34021,176173,185204,7600,7117,72128,74747,1784164,1734264,407506,415459,58849,56411,204106,214112,14606,14182,1873000,1861839,1270520,1243165,349259,354881,20159,19472,171106,179825,5536,5263,56420,59233,1319756,1294798,373106,381188,35425,35150,194977,204498,11088,10829,517001,490064,450534,425824,27184,26944,16444,14549,5067,5379,2064,1854,15708,15514,464408,439466,34400,34271,23424,21261,9129,9614,3518,3353
R,1,2024,33,4821895,2433102,2388793,1760550,1701651,376215,382972,36309,33633,183249,191770,7828,7289,68951,71478,1820634,1764107,404756,414709,57757,55265,211061,219581,14722,14156,1910841,1903431,1305427,1280441,348712,355606,19615,19244,177881,186407,5653,5436,53553,56297,1351856,1329475,370260,380242,34182,34238,201712,210144,11088,10874,522261,485362,455123,421210,27503,27366,16694,14389,5368,5363,2175,1853,15398,15181,468778,434632,34496,34467,23575,21027,9349,9437,3634,3282
R,1,2024,34,4712594,2377008,2335586,1725161,1663434,362382,372590,35325,32389,182264,193212,7957,7043,63919,66918,1781048,1721783,388445,401872,55285,52843,208036,219410,14261,13481,1872676,1869192,1285514,1258486,335741,346194,18925,18595,177106,187911,5834,5320,49556,52686,1328635,1304222,355267,368799,32483,32779,199243,210413,10838,10498,504332,466394,439647,404948,26641,26396,16400,13794,5158,5301,2123,1723,14363,14232,452413,417561,33178,33073,22802,20064,8793,8997,3423,2983
R,1,2024,35,4625070,2331496,2293574,1704377,1642588,340475,354078,34508,31588,184271,195064,7709,7087,60156,63169,1756675,1697606,364352,381250,53369,50937,208997,220208,13850,13191,1832273,1836764,1268049,1245706,314990,328320,18219,17844,179191,189879,5648,5373,46176,49642,1308020,1288791,332468,348980,30740,31322,200412,211500,10534,10265,499223,456810,436328,396882,25485,25758,16289,13744,5080,5185,2061,1714,13980,13527,448655,408815,31884,32270,22629,19615,8585,8708,3316,2926
R,1,2024,36,4527129,2286395,2240734,1687928,1616784,323036,337229,33208,30444,177675,188711,7753,6854,56795,60712,1737163,1669779,345466,362938,51185,49219,201077,212904,13764,12864,1792612,1792201,1254847,1226235,298549,312443,17428,17101,172747,183856,5586,5163,43455,47403,1292254,1267463,314894,331843,29334,30009,192827,204694,10390,9956,493783,448533,433081,390549,24487,24786,15780,13343,4928,4855,2167,1691,13340,13309,444909,402316,30572,31095,21851,19210,8250,8210,3374,2908
R,1,2024,37,4505761,2276742,2229019,1692397,1617664,313461,329667,32715,29851,176243,186827,7675,6942,54251,58068,1739661,1668101,334209,354061,50250,48532,198696,209883,13300,12602,1782870,1781845,1258691,1227735,289192,305015,16907,16595,171300,182126,5487,5177,41293,45197,1294468,1266776,304019,323410,28498,29424,190569,201928,9996,9731,493872,447174,433706,389929,24269,24652,15808,13256,4943,4701,2188,1765,12958,12871,445193,401325,30190,30651,21752,19108,8127,7955,3304,2871
R,1,2024,38,4533791,2291891,2241900,1712851,1634541,310194,326658,32430,29736,175742,187361,7751,7061,52923,56543,1758725,1683649,330422,349710,49925,48074,197373,210059,13366,12890,1791693,1792282,1273245,1241820,285952,302244,16264,16522,170842,182609,5533,5403,39857,43684,1307525,1279552,300243,319205,27725,29225,189295,202062,9980,10089,500198,449618,439606,392721,24242,24414,16166,13214,4900,4752,2218,1658,13066,12859,451200,404097,30179,30505,22200,18849,8078,7997,3386,2801
R,1,2024,39,4457852,2246502,2211350,1683257,1613573,298479,319197,31607,29214,174842,187782,7473,6725,50844,54859,1727380,1661054,317361,341048,48656,47381,195765,210158,13057,12382,1757702,1767070,1253031,1225197,275339,295284,16001,16113,169931,183253,5306,5025,38094,42198,1285829,1261563,288536,311131,27127,28586,187766,202384,9733,9566,488800,444280,430226,388376,23140,23913,15606,13101,4911,4529,2167,1700,12750,12661,441551,399491,28825,29917,21529,18795,7999,7774,3324,2816
R,1,2024,40,4426044,2229382,2196662,1676058,1605450,292659,314872,31529,28990,172427,186770,7381,6788,49328,53792,1718801,1652016,310912,335795,48243,47328,192812,208616,12702,12456,1745441,1753200,1249662,1217617,269940,291085,15833,15845,167710,182343,5301,5118,36995,41192,1281461,1253047,282622,306282,26865,28419,185019,200969,9500,9626,483941,443462,426396,387833,22719,23787,15696,13145,4717,4427,2080,1670,12333,12600,437340,398969,28290,29513,21378,18909,7793,7647,3202,2830
R,1,2024,41,4491942,2261386,2230556,1704437,1634063,295988,319347,32165,29456,171912,186924,7453,6950,49431,53816,1747285,1680526,314071,340448,49292,48099,192067,208508,12911,12560,1765894,1776025,1267410,1236362,272803,294836,16090,16121,167126,182193,5341,5195,37124,41318,1299320,1271773,285387,310161,27438,29004,184279,200635,9692,9715,495492,454531,437027,397701,23185,24511,16075,13335,4786,4731,2112,1755,12307,12498,447965,408753,28684,30287,21854,19095,7788,7873,3219,2845
